term,estimate,std.error,statistic,p.value
retaccpt,-0.025842205649496623,0.02438547786208189,-1.0597375124512063,0.2892706161294641
newcelly,-0.017382567615947482,0.00653076723945786,-2.661642495988031,0.007779238692069317
newcelln,9.624525062994082e-4,0.007521482674308148,0.1279604764080558,0.8981809130039622
refer,-0.014179105325396759,0.010066143018414561,-1.4085936688419909,0.15896334985383176
incmiss,-0.02058957729102693,0.014391097014555041,-1.4307163151080695,0.1525195733887123
income,-0.0030066073578612555,0.0014464037468783087,-2.0786777995772243,0.037653517098315804
mcycle,0.029347587312188905,0.02132689359488982,1.3760835436071637,0.16880369682666005
setprcm,-0.023836172486243867,0.009635702978180538,-2.4737346657757535,0.013375134743400746
setprc,1.3951634649349035e-4,6.734701705806239e-5,2.0716039490391696,0.03830897126974344
retcall,0.18427588323130956,0.04402520011063645,4.185690985349744,2.8492444168708728e-5
